Date,Open,High,Low,Close
30-October-2017,33260.10,33340.17,33206.93,33266.16,
31-October-2017,33254.93,33294.30,33164.28,33213.13,
1-November-2017,33344.23,33651.52,33340.62,33600.27,
2-November-2017,33615.84,33657.57,33527.00,33573.22,
3-November-2017,33667.34,33733.71,33531.94,33685.56,
6-November-2017,33710.15,33848.42,33582.38,33731.19,
7-November-2017,33781.01,33865.95,33341.82,33370.76,
8-November-2017,33417.35,33484.70,33157.68,33218.81,
9-November-2017,33376.62,33463.80,33111.54,33250.93,
10-November-2017,33235.75,33380.42,33108.09,33314.56,
13-November-2017,33397.41,33417.30,32999.98,33033.56,
14-November-2017,32990.03,33126.55,32907.11,32941.87,
15-November-2017,32944.94,32944.94,32683.59,32760.44,
16-November-2017,32829.82,33165.15,32829.82,33106.82,
17-November-2017,33388.47,33520.82,33278.91,33342.80,
20-November-2017,33365.84,33449.53,33288.21,33359.90,
21-November-2017,33438.28,33625.05,33437.61,33478.35,
22-November-2017,33569.07,33654.53,33465.23,33561.55,
23-November-2017,33575.91,33670.19,33468.30,33588.08,
24-November-2017,33670.00,33738.53,33639.98,33679.24,
27-November-2017,33640.51,33745.17,33540.46,33724.44,
28-November-2017,33726.65,33770.15,33576.65,33618.59,
29-November-2017,33664.27,33728.81,33553.12,33602.76,
30-November-2017,33542.50,33576.20,33108.72,33149.35,
1-December-2017,33247.66,33300.81,32797.78,32832.94,
4-December-2017,32968.02,33008.47,32785.76,32869.72,
5-December-2017,32814.03,32893.05,32682.52,32802.44,
6-December-2017,32798.50,32804.75,32565.16,32597.18,
7-December-2017,32615.05,32992.45,32598.12,32949.21,
8-December-2017,33034.20,33285.68,33034.20,33250.30,
11-December-2017,33317.72,33535.97,33313.17,33455.79,
12-December-2017,33426.59,33458.41,33179.75,33227.99,
13-December-2017,33229.73,33404.26,32988.82,33053.04,
14-December-2017,33114.69,33321.52,32886.93,33246.70,
15-December-2017,33456.02,33621.96,33405.82,33462.97,
18-December-2017,33364.52,33801.90,32595.63,33601.68,
19-December-2017,33732.08,33862.07,33666.62,33836.74,
20-December-2017,33928.59,33956.31,33754.94,33777.38,
21-December-2017,33826.25,33860.99,33707.80,33756.28,
22-December-2017,33768.47,33964.28,33767.73,33940.30,
26-December-2017,33980.76,34061.88,33889.75,34010.61,
27-December-2017,34087.32,34137.97,33839.51,33911.81,
28-December-2017,33928.86,34023.65,33752.03,33848.03,
29-December-2017,33889.39,34086.05,33889.39,34056.83,
1-January-2018,34059.99,34101.13,33766.15,33812.75,
2-January-2018,33913.55,33964.14,33703.37,33812.26,
3-January-2018,33929.61,33998.37,33765.43,33793.38,
4-January-2018,33912.49,33995.40,33802.13,33969.64,
5-January-2018,34021.27,34188.85,34020.84,34153.85,
8-January-2018,34216.33,34385.67,34216.33,34352.79,
9-January-2018,34431.61,34488.03,34343.41,34443.19,
10-January-2018,34538.78,34565.63,34311.63,34433.07,
11-January-2018,34471.48,34558.88,34400.61,34503.49,
12-January-2018,34578.99,34638.42,34342.16,34592.39,
15-January-2018,34687.21,34963.69,34687.21,34843.51,
16-January-2018,34877.71,34936.03,34735.55,34771.05,
17-January-2018,34753.80,35118.61,34700.82,35081.82,
18-January-2018,35366.45,35507.36,35166.44,35260.29,
19-January-2018,35339.11,35542.17,35221.16,35511.58,
22-January-2018,35613.97,35827.70,35544.68,35798.01,
23-January-2018,35868.19,36170.83,35863.98,36139.98,
24-January-2018,36161.62,36268.19,36036.51,36161.64,
25-January-2018,36208.39,36247.02,35823.35,36050.44,
29-January-2018,36106.36,36443.98,36093.36,36283.25,
30-January-2018,36277.12,36291.82,35993.41,36033.73,
31-January-2018,35951.64,36050.69,35818.41,35965.02,
1-February-2018,36048.99,36256.83,35501.74,35906.66,
2-February-2018,35707.60,35738.13,35006.41,35066.75,
5-February-2018,34718.85,34874.17,34520.80,34757.16,
6-February-2018,33753.78,34521.01,33482.81,34195.94,
7-February-2018,34563.30,34666.33,34008.42,34082.71,
8-February-2018,34208.11,34634.35,34108.76,34413.16,
9-February-2018,34002.45,34070.73,33849.65,34005.76,
12-February-2018,34203.34,34351.34,34115.12,34300.47,
14-February-2018,34436.98,34473.43,34028.68,34155.95,
15-February-2018,34207.57,34535.08,34186.01,34297.47,
16-February-2018,34411.24,34508.24,33957.33,34010.76,
19-February-2018,34053.95,34122.96,33554.37,33774.66,
20-February-2018,33913.94,33960.95,33657.89,33703.59,
21-February-2018,33813.83,33911.36,33702.50,33844.86,
22-February-2018,33817.09,33868.74,33691.42,33819.50,
23-February-2018,33832.00,34167.60,33832.00,34142.15,
26-February-2018,34225.72,34483.39,34225.72,34445.75,
27-February-2018,34558.56,34610.79,34314.87,34346.39,
28-February-2018,34155.63,34302.74,34076.45,34184.04,
1-March-2018,34141.22,34278.63,34015.79,34046.94,
5-March-2018,34034.28,34034.28,33653.41,33746.78,
6-March-2018,34047.43,34060.13,33209.76,33317.20,
7-March-2018,33279.39,33331.21,32991.14,33033.09,
8-March-2018,33244.52,33439.97,33037.48,33351.57,
9-March-2018,33465.05,33519.49,33256.42,33307.14,
12-March-2018,33468.16,33962.48,33468.16,33917.94,
13-March-2018,33818.22,34077.32,33722.96,33856.78,
14-March-2018,33733.55,33875.15,33580.69,33835.74,
15-March-2018,33843.47,33866.28,33637.28,33685.54,
16-March-2018,33685.86,33691.32,33119.92,33176.00,
19-March-2018,33268.97,33275.79,32856.54,32923.12,
20-March-2018,32876.48,33102.74,32810.86,32996.76,
21-March-2018,33090.82,33354.93,33070.53,33136.18,
22-March-2018,33206.99,33281.77,32963.31,33006.27,
23-March-2018,32650.89,32720.03,32483.84,32596.54,
26-March-2018,32536.44,33115.41,32515.17,33066.41,
27-March-2018,33172.98,33371.04,33077.13,33174.39,
28-March-2018,33098.09,33104.11,32917.66,32968.68,
2-April-2018,33030.87,33289.34,32997.88,33255.36,
3-April-2018,33197.42,33402.94,33153.83,33370.63,
4-April-2018,33437.52,33505.53,32972.56,33019.07,
5-April-2018,33289.96,33637.46,33267.86,33596.80,
6-April-2018,33608.59,33697.51,33501.37,33626.97,
9-April-2018,33653.61,33846.50,33578.91,33788.54,
10-April-2018,33880.11,33949.98,33813.30,33880.25,
11-April-2018,33970.35,33981.54,33750.74,33940.44,
12-April-2018,33987.55,34177.44,33924.88,34101.13,
13-April-2018,34167.53,34313.14,34103.53,34192.65,
16-April-2018,33944.73,34341.46,33899.34,34305.43,
17-April-2018,34381.80,34434.14,34229.83,34395.06,
18-April-2018,34443.42,34591.81,34270.04,34331.68,
19-April-2018,34403.67,34478.82,34358.91,34427.29,
20-April-2018,34434.14,34487.33,34311.29,34415.58,
